Circle trajectory
1 planets at:
0 500
Trajectory:
0 0
0.0316228 1e-06
0.0632455 4e-06
0.0948683 9e-06
0.126491 1.6e-05
0.158114 2.5e-05
0.189737 3.6e-05
0.221359 4.9e-05
0.252982 6.4e-05
0.284605 8.1e-05
0.316228 0.0001
0.34785 0.000121
0.379473 0.000144
0.411096 0.000169
0.442719 0.000196
0.474342 0.000225
0.505964 0.000256
0.537587 0.000289
0.56921 0.000324
0.600833 0.000361
0.632455 0.0004
0.664078 0.000441
0.695701 0.000484
0.727324 0.000529
0.758946 0.000576
0.790569 0.000625
0.822192 0.000676
0.853815 0.000729
0.885437 0.000784
0.91706 0.000841
0.948683 0.0009
0.980306 0.000961
1.01193 0.001024
1.04355 0.001089
1.07517 0.001156
1.1068 0.001225
1.13842 0.001296
1.17004 0.001369
1.20166 0.001444
1.23329 0.001521
1.26491 0.0016
1.29653 0.001681
1.32816 0.001764
1.35978 0.001849
1.3914 0.001936
1.42302 0.002025
1.45465 0.002116
1.48627 0.002209
1.51789 0.002304
1.54951 0.002401
1.58114 0.0025
1.61276 0.002601
1.64438 0.002704
1.676 0.002809
1.70763 0.002916
1.73925 0.003025
1.77087 0.003136
1.80249 0.003249
1.83412 0.003364
1.86574 0.003481
1.89736 0.0036
1.92898 0.003721
1.96061 0.00384399
1.99223 0.00396899
2.02385 0.00409599
2.05547 0.00422499
2.0871 0.00435599
2.11872 0.00448899
2.15034 0.00462399
2.18196 0.00476099
2.21359 0.00489999
2.24521 0.00504099
2.27683 0.00518399
2.30845 0.00532899
2.34008 0.00547599
2.3717 0.00562499
2.40332 0.00577599
2.43494 0.00592899
2.46657 0.00608399
2.49819 0.00624099
2.52981 0.00639999
2.56143 0.00656099
2.59306 0.00672398
2.62468 0.00688898
2.6563 0.00705598
2.68792 0.00722498
2.71955 0.00739598
2.75117 0.00756898
2.78279 0.00774398
2.81441 0.00792098
2.84603 0.00809998
2.87766 0.00828098
2.90928 0.00846398
2.9409 0.00864897
2.97252 0.00883597
3.00415 0.00902497
3.03577 0.00921597
3.06739 0.00940897
3.09901 0.00960397
3.13063 0.00980097
3.16226 0.00999997
3.19388 0.010201
3.2255 0.010404
3.25712 0.010609
3.28875 0.010816
3.32037 0.011025
3.35199 0.011236
3.38361 0.011449
3.41523 0.011664
3.44686 0.011881
3.47848 0.0121
3.5101 0.0123209
3.54172 0.0125439
3.57334 0.0127689
3.60497 0.0129959
3.63659 0.0132249
3.66821 0.0134559
3.69983 0.0136889
3.73145 0.0139239
3.76307 0.0141609
3.7947 0.0143999
3.82632 0.0146409
3.85794 0.0148839
3.88956 0.0151289
3.92118 0.0153759
3.95281 0.0156249
3.98443 0.0158759
4.01605 0.0161289
4.04767 0.0163839
4.07929 0.0166409
4.11092 0.0168999
4.14254 0.0171609
4.17416 0.0174239
4.20578 0.0176889
4.2374 0.0179559
4.26902 0.0182249
4.30064 0.0184959
4.33227 0.0187689
4.36389 0.0190439
4.39551 0.0193209
4.42713 0.0195999
4.45875 0.0198809
4.49037 0.0201639
4.522 0.0204489
4.55362 0.0207359
4.58524 0.0210249
4.61686 0.0213159
4.64848 0.0216088
4.6801 0.0219038
4.71172 0.0222008
4.74335 0.0224998
4.77497 0.0228008
4.80659 0.0231038
4.83821 0.0234088
4.86983 0.0237158
4.90145 0.0240248
4.93307 0.0243358
4.9647 0.0246488
4.99632 0.0249638
5.02794 0.0252808
5.05956 0.0255998
5.09118 0.0259208
5.1228 0.0262438
5.15442 0.0265688
5.18604 0.0268958
5.21766 0.0272248
5.24928 0.0275558
5.28091 0.0278887
5.31253 0.0282237
5.34415 0.0285607
5.37577 0.0288997
5.40739 0.0292407
5.43901 0.0295837
5.47063 0.0299287
5.50225 0.0302757
5.53387 0.0306247
5.56549 0.0309757
5.59712 0.0313287
5.62874 0.0316837
5.66036 0.0320407
5.69198 0.0323997
5.7236 0.0327606
5.75522 0.0331236
5.78684 0.0334886
5.81846 0.0338556
5.85008 0.0342246
5.8817 0.0345956
5.91332 0.0349686
5.94494 0.0353436
5.97656 0.0357206
6.00818 0.0360996
6.0398 0.0364806
6.07142 0.0368635
6.10304 0.0372485
6.13467 0.0376355
6.16629 0.0380245
6.19791 0.0384155
6.22953 0.0388085
6.26115 0.0392035
6.29277 0.0396005
6.32439 0.0399995
6.35601 0.0404005
6.38763 0.0408034
6.41925 0.0412084
6.45087 0.0416154
6.48249 0.0420244
6.51411 0.0424354
6.54573 0.0428484
6.57735 0.0432634
6.60897 0.0436804
6.64059 0.0440994
6.67221 0.0445203
6.70383 0.0449433
6.73545 0.0453683
6.76707 0.0457953
6.79869 0.0462243
6.83031 0.0466553
6.86193 0.0470883
6.89355 0.0475232
6.92517 0.0479602
6.95679 0.0483992
6.98841 0.0488402
7.02003 0.0492832
7.05165 0.0497282
7.08327 0.0501752
7.11489 0.0506241
7.14651 0.0510751
7.17812 0.0515281
7.20974 0.0519831
7.24136 0.0524401
7.27298 0.0528991
7.3046 0.0533601
7.33622 0.053823
7.36784 0.054288
7.39946 0.054755
7.43108 0.055224
7.4627 0.055695
7.49432 0.0561679
7.52594 0.0566429
7.55756 0.0571199
7.58918 0.0575989
7.6208 0.0580799
7.65241 0.0585629
7.68403 0.0590478
7.71565 0.0595348
7.74727 0.0600238
7.77889 0.0605148
7.81051 0.0610078
7.84213 0.0615027
7.87375 0.0619997
7.90537 0.0624987
7.93699 0.0629997
7.9686 0.0635027
8.00022 0.0640076
8.03184 0.0645146
8.06346 0.0650236
8.09508 0.0655346
8.1267 0.0660475
8.15832 0.0665625
8.18994 0.0670795
8.22155 0.0675985
8.25317 0.0681195
8.28479 0.0686424
8.31641 0.0691674
8.34803 0.0696944
8.37965 0.0702234
8.41126 0.0707543
8.44288 0.0712873
8.4745 0.0718223
8.50612 0.0723592
8.53774 0.0728982
8.56935 0.0734392
8.60097 0.0739822
8.63259 0.0745271
8.66421 0.0750741
8.69583 0.0756231
8.72744 0.0761741
8.75906 0.076727
8.79068 0.077282
8.8223 0.077839
8.85392 0.0783979
8.88554 0.0789589
8.91715 0.0795219
8.94877 0.0800869
8.98039 0.0806538
9.01201 0.0812228
9.04362 0.0817938
9.07524 0.0823667
9.10686 0.0829417
9.13848 0.0835187
9.17009 0.0840976
9.20171 0.0846786
9.23333 0.0852616
9.26495 0.0858465
9.29656 0.0864335
9.32818 0.0870225
9.3598 0.0876134
9.39141 0.0882064
9.42303 0.0888014
9.45465 0.0893983
9.48627 0.0899973
9.51788 0.0905983
9.5495 0.0912012
9.58112 0.0918062
9.61273 0.0924131
9.64435 0.0930221
9.67597 0.0936331
9.70759 0.094246
9.7392 0.094861
9.77082 0.095478
9.80244 0.0960969
9.83405 0.0967179
9.86567 0.0973408
9.89729 0.0979658
9.9289 0.0985928
9.96052 0.0992217
9.99214 0.0998527
10.0238 0.100486
10.0554 0.101121
10.087 0.101758
10.1186 0.102396
10.1502 0.103037
10.1818 0.10368
10.2134 0.104325
10.2451 0.104972
10.2767 0.105621
10.3083 0.106272
10.3399 0.106925
10.3715 0.10758
10.4031 0.108237
10.4348 0.108896
10.4664 0.109557
10.498 0.11022
10.5296 0.110885
10.5612 0.111552
10.5928 0.112221
10.6245 0.112892
10.6561 0.113565
10.6877 0.11424
10.7193 0.114917
10.7509 0.115596
10.7825 0.116276
10.8141 0.116959
10.8458 0.117644
10.8774 0.118331
10.909 0.11902
10.9406 0.119711
10.9722 0.120404
11.0038 0.121099
11.0355 0.121796
11.0671 0.122495
11.0987 0.123196
11.1303 0.123899
11.1619 0.124604
11.1935 0.125311
11.2251 0.12602
11.2568 0.126731
11.2884 0.127444
11.32 0.128159
11.3516 0.128875
11.3832 0.129594
11.4148 0.130315
11.4464 0.131038
11.4781 0.131763
11.5097 0.13249
11.5413 0.133219
11.5729 0.13395
11.6045 0.134683
11.6361 0.135418
11.6677 0.136155
11.6994 0.136894
11.731 0.137635
11.7626 0.138378
11.7942 0.139123
11.8258 0.139869
11.8574 0.140618
11.889 0.141369
11.9207 0.142122
11.9523 0.142877
11.9839 0.143634
12.0155 0.144393
12.0471 0.145154
12.0787 0.145917
12.1103 0.146682
12.142 0.147449
12.1736 0.148218
12.2052 0.148989
12.2368 0.149762
12.2684 0.150536
12.3 0.151313
12.3316 0.152092
12.3632 0.152873
12.3949 0.153656
12.4265 0.154441
12.4581 0.155228
12.4897 0.156017
12.5213 0.156808
12.5529 0.157601
12.5845 0.158396
12.6162 0.159193
12.6478 0.159991
12.6794 0.160792
12.711 0.161595
12.7426 0.1624
12.7742 0.163207
12.8058 0.164016
12.8374 0.164827
12.8691 0.16564
12.9007 0.166455
12.9323 0.167272
12.9639 0.168091
12.9955 0.168911
13.0271 0.169734
13.0587 0.170559
13.0903 0.171386
13.122 0.172215
13.1536 0.173046
13.1852 0.173879
13.2168 0.174714
13.2484 0.175551
13.28 0.17639
13.3116 0.177231
13.3432 0.178073
13.3748 0.178918
13.4065 0.179765
13.4381 0.180614
13.4697 0.181465
13.5013 0.182318
13.5329 0.183173
13.5645 0.18403
13.5961 0.184889
13.6277 0.18575
13.6593 0.186612
13.691 0.187477
13.7226 0.188344
13.7542 0.189213
13.7858 0.190084
13.8174 0.190957
13.849 0.191832
13.8806 0.192709
13.9122 0.193588
13.9438 0.194468
13.9755 0.195351
14.0071 0.196236
14.0387 0.197123
14.0703 0.198012
14.1019 0.198903
14.1335 0.199796
14.1651 0.200691
14.1967 0.201587
14.2283 0.202486
14.2599 0.203387
14.2916 0.20429
14.3232 0.205195
14.3548 0.206102
14.3864 0.207011
14.418 0.207922
14.4496 0.208834
14.4812 0.209749
14.5128 0.210666
14.5444 0.211585
14.576 0.212506
14.6077 0.213429
14.6393 0.214354
14.6709 0.215281
14.7025 0.216209
14.7341 0.21714
14.7657 0.218073
14.7973 0.219008
14.8289 0.219945
14.8605 0.220884
14.8921 0.221825
14.9237 0.222767
14.9553 0.223712
14.987 0.224659
15.0186 0.225608
15.0502 0.226559
15.0818 0.227512
15.1134 0.228467
15.145 0.229423
15.1766 0.230382
15.2082 0.231343
15.2398 0.232306
15.2714 0.233271
15.303 0.234238
15.3346 0.235207
15.3663 0.236177
15.3979 0.23715
15.4295 0.238125
15.4611 0.239102
15.4927 0.240081
15.5243 0.241062
15.5559 0.242044
15.5875 0.243029
15.6191 0.244016
15.6507 0.245005
15.6823 0.245996
15.7139 0.246989
15.7455 0.247984
15.7772 0.24898
15.8088 0.249979
15.8404 0.25098
15.872 0.251983
15.9036 0.252988
15.9352 0.253995
15.9668 0.255003
15.9984 0.256014
16.03 0.257027
16.0616 0.258042
16.0932 0.259059
16.1248 0.260078
16.1564 0.261098
16.188 0.262121
16.2196 0.263146
16.2513 0.264173
16.2829 0.265202
16.3145 0.266232
16.3461 0.267265
16.3777 0.2683
16.4093 0.269337
16.4409 0.270376
16.4725 0.271417
16.5041 0.272459
16.5357 0.273504
16.5673 0.274551
16.5989 0.2756
16.6305 0.276651
16.6621 0.277703
16.6937 0.278758
16.7253 0.279815
16.7569 0.280874
16.7885 0.281935
