High velocity
1 planets at:
0 500
Trajectory:
0 0
0.0474342 0
0.0948683 2e-06
0.142302 6e-06
0.189737 1.2e-05
0.237171 2e-05
0.284605 3e-05
0.332039 4.2e-05
0.379473 5.6e-05
0.426907 7.2e-05
0.474342 9e-05
0.521776 0.00011
0.56921 0.000132
0.616644 0.000156
0.664078 0.000182
0.711512 0.00021
0.758947 0.00024
0.806381 0.000272
0.853815 0.000306
0.901249 0.000342
0.948683 0.00038
0.996117 0.00042
1.04355 0.000462
1.09099 0.000505999
1.13842 0.000551999
1.18585 0.000599999
1.23329 0.000649999
1.28072 0.000701999
1.32816 0.000755999
1.37559 0.000811999
1.42302 0.000869998
1.47046 0.000929998
1.51789 0.000991998
1.56533 0.001056
1.61276 0.001122
1.6602 0.00119
1.70763 0.00126
1.75506 0.001332
1.8025 0.001406
1.84993 0.001482
1.89737 0.00156
1.9448 0.00164
1.99223 0.00172199
2.03967 0.00180599
2.0871 0.00189199
2.13454 0.00197999
2.18197 0.00206999
2.2294 0.00216199
2.27684 0.00225599
2.32427 0.00235199
2.37171 0.00244999
2.41914 0.00254999
2.46657 0.00265199
2.51401 0.00275599
2.56144 0.00286199
2.60887 0.00296998
2.65631 0.00307998
2.70374 0.00319198
2.75118 0.00330598
2.79861 0.00342198
2.84604 0.00353998
2.89348 0.00365998
2.94091 0.00378198
2.98835 0.00390597
3.03578 0.00403197
3.08321 0.00415997
3.13065 0.00428997
3.17808 0.00442197
3.22551 0.00455597
3.27295 0.00469196
3.32038 0.00482996
3.36782 0.00496996
3.41525 0.00511196
3.46268 0.00525595
3.51012 0.00540195
3.55755 0.00554995
3.60498 0.00569995
3.65242 0.00585194
3.69985 0.00600594
3.74729 0.00616194
3.79472 0.00631993
3.84215 0.00647993
3.88959 0.00664193
3.93702 0.00680592
3.98445 0.00697192
4.03189 0.00713992
4.07932 0.00730991
4.12675 0.00748191
4.17419 0.0076559
4.22162 0.0078319
4.26905 0.00800989
4.31649 0.00818989
4.36392 0.00837188
4.41135 0.00855588
4.45879 0.00874187
4.50622 0.00892987
4.55365 0.00911986
4.60109 0.00931186
4.64852 0.00950585
4.69595 0.00970185
4.74339 0.00989984
4.79082 0.0100998
4.83825 0.0103018
4.88569 0.0105058
4.93312 0.0107118
4.98055 0.0109198
5.02799 0.0111298
5.07542 0.0113418
5.12285 0.0115558
5.17029 0.0117718
5.21772 0.0119898
5.26515 0.0122098
5.31258 0.0124317
5.36002 0.0126557
5.40745 0.0128817
5.45488 0.0131097
5.50232 0.0133397
5.54975 0.0135717
5.59718 0.0138057
5.64461 0.0140417
5.69205 0.0142797
5.73948 0.0145197
5.78691 0.0147616
5.83435 0.0150056
5.88178 0.0152516
5.92921 0.0154996
5.97664 0.0157496
6.02408 0.0160016
6.07151 0.0162556
6.11894 0.0165116
6.16638 0.0167695
6.21381 0.0170295
6.26124 0.0172915
6.30867 0.0175555
6.3561 0.0178215
6.40354 0.0180895
6.45097 0.0183595
6.4984 0.0186314
6.54583 0.0189054
6.59327 0.0191814
6.6407 0.0194594
6.68813 0.0197394
6.73556 0.0200213
6.783 0.0203053
6.83043 0.0205913
6.87786 0.0208793
6.92529 0.0211693
6.97273 0.0214613
7.02016 0.0217552
7.06759 0.0220512
7.11502 0.0223492
7.16245 0.0226492
7.20989 0.0229511
7.25732 0.0232551
7.30475 0.0235611
7.35218 0.0238691
7.39961 0.0241791
7.44704 0.024491
7.49448 0.024805
7.54191 0.025121
7.58934 0.025439
7.63677 0.0257589
7.6842 0.0260809
7.73164 0.0264049
7.77907 0.0267308
7.8265 0.0270588
7.87393 0.0273888
7.92136 0.0277208
7.96879 0.0280547
8.01622 0.0283907
8.06366 0.0287287
8.11109 0.0290686
8.15852 0.0294106
8.20595 0.0297546
8.25338 0.0301005
8.30081 0.0304485
8.34824 0.0307985
8.39567 0.0311504
8.4431 0.0315044
8.49054 0.0318604
8.53797 0.0322183
8.5854 0.0325783
8.63283 0.0329402
8.68026 0.0333042
8.72769 0.0336702
8.77512 0.0340381
8.82255 0.0344081
8.86998 0.0347801
8.91741 0.035154
8.96485 0.03553
9.01228 0.0359079
9.05971 0.0362879
9.10714 0.0366698
9.15457 0.0370538
9.202 0.0374397
9.24943 0.0378277
9.29686 0.0382176
9.34429 0.0386096
9.39172 0.0390036
9.43915 0.0393995
9.48658 0.0397975
9.53401 0.0401974
9.58144 0.0405993
9.62887 0.0410033
9.6763 0.0414092
9.72373 0.0418172
9.77116 0.0422271
9.81859 0.0426391
9.86602 0.043053
9.91345 0.043469
9.96088 0.0438869
10.0083 0.0443068
10.0557 0.0447288
10.1032 0.0451527
10.1506 0.0455787
10.198 0.0460066
10.2455 0.0464365
10.2929 0.0468685
10.3403 0.0473024
10.3878 0.0477383
10.4352 0.0481763
10.4826 0.0486162
10.53 0.0490581
10.5775 0.0495021
10.6249 0.049948
10.6723 0.0503959
10.7198 0.0508458
10.7672 0.0512978
10.8146 0.0517517
10.862 0.0522076
10.9095 0.0526655
10.9569 0.0531255
11.0043 0.0535874
11.0518 0.0540513
11.0992 0.0545172
11.1466 0.0549851
11.194 0.0554551
11.2415 0.055927
11.2889 0.0564009
11.3363 0.0568768
11.3838 0.0573547
11.4312 0.0578346
11.4786 0.0583165
11.5261 0.0588005
11.5735 0.0592864
11.6209 0.0597743
11.6683 0.0602642
11.7158 0.0607561
11.7632 0.06125
11.8106 0.0617459
11.858 0.0622438
11.9055 0.0627437
11.9529 0.0632456
12.0003 0.0637495
12.0478 0.0642554
12.0952 0.0647633
12.1426 0.0652732
12.19 0.0657851
12.2375 0.066299
12.2849 0.0668148
12.3323 0.0673327
12.3798 0.0678526
12.4272 0.0683745
12.4746 0.0688984
12.522 0.0694243
12.5695 0.0699522
12.6169 0.070482
12.6643 0.0710139
12.7118 0.0715478
12.7592 0.0720837
12.8066 0.0726215
12.854 0.0731614
12.9015 0.0737033
12.9489 0.0742472
12.9963 0.074793
13.0437 0.0753409
13.0912 0.0758908
13.1386 0.0764426
13.186 0.0769965
13.2334 0.0775524
13.2809 0.0781102
13.3283 0.0786701
13.3757 0.0792319
13.4232 0.0797958
13.4706 0.0803617
13.518 0.0809295
13.5654 0.0814994
13.6129 0.0820712
13.6603 0.0826451
13.7077 0.0832209
13.7551 0.0837988
13.8026 0.0843786
13.85 0.0849604
13.8974 0.0855443
13.9448 0.0861301
13.9923 0.086718
14.0397 0.0873078
14.0871 0.0878996
14.1345 0.0884935
14.182 0.0890893
14.2294 0.0896871
14.2768 0.090287
14.3243 0.0908888
14.3717 0.0914926
14.4191 0.0920984
14.4665 0.0927062
14.514 0.0933161
14.5614 0.0939279
14.6088 0.0945417
14.6562 0.0951575
14.7037 0.0957753
14.7511 0.0963951
14.7985 0.0970169
14.8459 0.0976408
14.8934 0.0982666
14.9408 0.0988944
14.9882 0.0995242
15.0356 0.100156
15.0831 0.10079
15.1305 0.101426
15.1779 0.102063
15.2253 0.102703
15.2727 0.103345
15.3202 0.103989
15.3676 0.104635
15.415 0.105282
15.4624 0.105932
15.5099 0.106584
15.5573 0.107238
15.6047 0.107893
15.6521 0.108551
15.6996 0.109211
15.747 0.109873
15.7944 0.110536
15.8418 0.111202
15.8893 0.11187
15.9367 0.11254
15.9841 0.113212
16.0315 0.113885
16.079 0.114561
16.1264 0.115239
16.1738 0.115919
16.2212 0.1166
16.2686 0.117284
16.3161 0.11797
16.3635 0.118658
16.4109 0.119347
16.4583 0.120039
16.5058 0.120733
16.5532 0.121428
16.6006 0.122126
16.648 0.122826
16.6954 0.123528
16.7429 0.124231
16.7903 0.124937
16.8377 0.125645
16.8851 0.126355
16.9326 0.127066
16.98 0.12778
17.0274 0.128496
17.0748 0.129213
17.1222 0.129933
17.1697 0.130655
17.2171 0.131378
17.2645 0.132104
17.3119 0.132832
17.3594 0.133562
17.4068 0.134293
17.4542 0.135027
17.5016 0.135763
17.549 0.1365
17.5965 0.13724
17.6439 0.137982
17.6913 0.138725
17.7387 0.139471
17.7861 0.140219
17.8336 0.140968
17.881 0.14172
17.9284 0.142474
17.9758 0.143229
18.0232 0.143987
18.0707 0.144747
18.1181 0.145508
18.1655 0.146272
18.2129 0.147037
18.2603 0.147805
18.3078 0.148575
18.3552 0.149346
18.4026 0.15012
18.45 0.150896
18.4975 0.151673
18.5449 0.152453
18.5923 0.153235
18.6397 0.154018
18.6871 0.154804
18.7346 0.155591
18.782 0.156381
18.8294 0.157173
18.8768 0.157966
18.9242 0.158762
18.9716 0.159559
19.0191 0.160359
19.0665 0.161161
19.1139 0.161964
19.1613 0.16277
19.2087 0.163577
19.2562 0.164387
19.3036 0.165199
19.351 0.166012
19.3984 0.166828
19.4458 0.167645
19.4932 0.168465
19.5407 0.169286
19.5881 0.17011
19.6355 0.170935
19.6829 0.171763
19.7303 0.172593
19.7778 0.173424
19.8252 0.174258
19.8726 0.175093
19.92 0.175931
19.9674 0.17677
20.0148 0.177612
20.0623 0.178455
20.1097 0.179301
20.1571 0.180148
20.2045 0.180998
20.2519 0.181849
20.2993 0.182703
20.3468 0.183558
20.3942 0.184416
20.4416 0.185275
20.489 0.186137
20.5364 0.187
20.5838 0.187866
20.6313 0.188733
20.6787 0.189603
20.7261 0.190474
20.7735 0.191348
20.8209 0.192223
20.8683 0.193101
20.9158 0.19398
20.9632 0.194862
21.0106 0.195745
21.058 0.196631
21.1054 0.197518
21.1528 0.198407
21.2003 0.199299
21.2477 0.200192
21.2951 0.201088
21.3425 0.201985
21.3899 0.202885
21.4373 0.203786
21.4847 0.204689
21.5322 0.205595
21.5796 0.206502
21.627 0.207412
21.6744 0.208323
21.7218 0.209236
21.7692 0.210152
21.8166 0.211069
21.8641 0.211989
21.9115 0.21291
21.9589 0.213833
22.0063 0.214759
22.0537 0.215686
22.1011 0.216615
22.1485 0.217547
22.196 0.21848
22.2434 0.219415
22.2908 0.220353
22.3382 0.221292
22.3856 0.222233
22.433 0.223177
22.4804 0.224122
22.5278 0.225069
22.5753 0.226019
22.6227 0.22697
22.6701 0.227923
22.7175 0.228879
22.7649 0.229836
22.8123 0.230795
22.8597 0.231757
22.9071 0.23272
22.9546 0.233685
23.002 0.234652
23.0494 0.235622
23.0968 0.236593
23.1442 0.237566
23.1916 0.238541
23.239 0.239519
23.2864 0.240498
23.3338 0.241479
23.3813 0.242463
23.4287 0.243448
23.4761 0.244435
23.5235 0.245424
23.5709 0.246415
23.6183 0.247409
23.6657 0.248404
23.7131 0.249401
23.7605 0.2504
23.808 0.251401
23.8554 0.252405
23.9028 0.25341
23.9502 0.254417
23.9976 0.255426
24.045 0.256437
24.0924 0.257451
24.1398 0.258466
24.1872 0.259483
24.2346 0.260502
24.2821 0.261523
24.3295 0.262546
24.3769 0.263572
24.4243 0.264599
24.4717 0.265628
24.5191 0.266659
24.5665 0.267692
24.6139 0.268727
24.6613 0.269764
24.7087 0.270803
24.7561 0.271845
24.8036 0.272888
24.851 0.273933
24.8984 0.27498
24.9458 0.276029
24.9932 0.27708
25.0406 0.278133
25.088 0.279188
25.1354 0.280245
25.1828 0.281304
