Low velocity
1 planets at:
0 500
Trajectory:
0 0
0.158114 0.0001
0.316228 0.0004
0.474342 0.0009
0.632455 0.0016
0.790568 0.0025
0.948682 0.0036
1.10679 0.00490001
1.26491 0.00640001
1.42302 0.00810002
1.58113 0.01
1.73924 0.0121001
1.89735 0.0144001
2.05546 0.0169001
2.21357 0.0196001
2.37168 0.0225002
2.52978 0.0256002
2.68789 0.0289003
2.84599 0.0324004
3.0041 0.0361005
3.1622 0.0400006
3.3203 0.0441007
3.4784 0.0484009
3.6365 0.0529011
3.7946 0.0576013
3.95269 0.0625015
4.11079 0.0676018
4.26888 0.0729021
4.42697 0.0784024
4.58506 0.0841027
4.74315 0.0900032
4.90123 0.0961036
5.05931 0.102404
5.2174 0.108905
5.37548 0.115605
5.53355 0.122506
5.69163 0.129607
5.8497 0.136907
6.00777 0.144408
6.16584 0.152109
6.32391 0.16001
6.48197 0.168111
6.64003 0.176412
6.79809 0.184914
6.95614 0.193615
7.1142 0.202516
7.27225 0.211618
7.43029 0.220919
7.58834 0.230421
7.74638 0.240123
7.90442 0.250025
8.06245 0.260127
8.22048 0.270429
8.37851 0.280932
8.53653 0.291634
8.69456 0.302537
8.85257 0.31364
9.01059 0.324942
9.1686 0.336446
9.32661 0.348149
9.48461 0.360052
9.64261 0.372156
9.80061 0.38446
9.9586 0.396964
10.1166 0.409668
10.2746 0.422572
10.4326 0.435677
10.5905 0.448982
10.7485 0.462487
10.9065 0.476192
11.0644 0.490097
11.2224 0.504203
11.3803 0.518509
11.5383 0.533015
11.6962 0.547722
11.8542 0.562628
12.0121 0.577735
12.17 0.593043
12.328 0.60855
12.4859 0.624258
12.6438 0.640167
12.8017 0.656275
12.9596 0.672584
13.1175 0.689093
13.2754 0.705803
13.4333 0.722713
13.5912 0.739823
13.7491 0.757133
13.907 0.774644
14.0648 0.792356
14.2227 0.810268
14.3805 0.82838
14.5384 0.846692
14.6962 0.865205
14.8541 0.883919
15.0119 0.902833
15.1697 0.921947
15.3276 0.941262
15.4854 0.960777
15.6432 0.980493
15.801 1.00041
15.9588 1.02053
16.1166 1.04084
16.2744 1.06136
16.4321 1.08208
16.5899 1.103
16.7477 1.12412
16.9054 1.14544
17.0632 1.16696
17.2209 1.18868
17.3787 1.2106
17.5364 1.23272
17.6941 1.25504
17.8518 1.27757
18.0095 1.30029
18.1672 1.32322
18.3249 1.34634
18.4826 1.36967
18.6403 1.3932
18.798 1.41692
18.9556 1.44085
19.1133 1.46498
19.271 1.48931
19.4286 1.51384
19.5862 1.53857
19.7439 1.5635
19.9015 1.58864
20.0591 1.61397
20.2167 1.6395
20.3743 1.66524
20.5319 1.69117
20.6894 1.71731
20.847 1.74365
21.0046 1.77019
21.1621 1.79693
21.3197 1.82387
21.4772 1.85101
21.6347 1.87835
21.7923 1.90589
21.9498 1.93364
22.1073 1.96158
22.2648 1.98973
22.4222 2.01807
22.5797 2.04662
22.7372 2.07537
22.8946 2.10432
23.0521 2.13347
23.2095 2.16282
23.3669 2.19238
23.5244 2.22213
23.6818 2.25209
23.8392 2.28224
23.9966 2.3126
24.1539 2.34316
24.3113 2.37392
24.4687 2.40488
24.626 2.43604
24.7834 2.4674
24.9407 2.49897
25.098 2.53074
25.2553 2.5627
25.4126 2.59487
25.5699 2.62724
25.7272 2.65981
25.8845 2.69258
26.0417 2.72556
26.199 2.75873
26.3562 2.79211
26.5134 2.82569
26.6707 2.85947
26.8279 2.89345
26.9851 2.92763
27.1422 2.96201
27.2994 2.9966
27.4566 3.03139
27.6137 3.06637
27.7709 3.10156
27.928 3.13695
28.0851 3.17255
28.2422 3.20834
28.3993 3.24434
28.5564 3.28054
28.7135 3.31693
28.8705 3.35354
29.0276 3.39034
29.1846 3.42734
29.3416 3.46455
29.4986 3.50196
29.6556 3.53957
29.8126 3.57738
29.9696 3.61539
30.1266 3.6536
30.2835 3.69202
30.4405 3.73064
30.5974 3.76946
30.7543 3.80848
30.9112 3.84771
31.0681 3.88713
31.225 3.92676
31.3818 3.96659
31.5387 4.00662
31.6955 4.04686
31.8524 4.08729
32.0092 4.12793
32.166 4.16877
32.3228 4.20981
32.4795 4.25106
32.6363 4.2925
32.793 4.33415
32.9498 4.376
33.1065 4.41806
33.2632 4.46031
33.4199 4.50277
33.5766 4.54543
33.7332 4.58829
33.8899 4.63136
34.0465 4.67462
34.2032 4.71809
34.3598 4.76176
34.5164 4.80564
34.673 4.84971
34.8295 4.89399
34.9861 4.93847
35.1426 4.98316
35.2991 5.02804
35.4557 5.07313
35.6122 5.11842
35.7686 5.16392
35.9251 5.20961
36.0816 5.25551
36.238 5.30161
36.3944 5.34792
36.5508 5.39442
36.7072 5.44113
36.8636 5.48805
37.02 5.53516
37.1763 5.58248
37.3327 5.63
37.489 5.67772
37.6453 5.72565
37.8016 5.77378
37.9578 5.82211
38.1141 5.87065
38.2703 5.91938
38.4266 5.96832
38.5828 6.01747
38.739 6.06682
38.8951 6.11637
39.0513 6.16612
39.2074 6.21607
39.3636 6.26623
39.5197 6.3166
39.6758 6.36716
39.8319 6.41793
39.9879 6.4689
40.144 6.52008
40.3 6.57146
40.456 6.62304
40.612 6.67483
40.768 6.72681
40.924 6.77901
41.0799 6.8314
41.2358 6.884
41.3918 6.9368
41.5477 6.98981
41.7035 7.04302
41.8594 7.09643
42.0153 7.15005
42.1711 7.20387
42.3269 7.25789
42.4827 7.31212
42.6385 7.36655
42.7942 7.42119
42.95 7.47602
43.1057 7.53107
43.2614 7.58631
43.4171 7.64176
43.5727 7.69742
43.7284 7.75327
43.884 7.80934
44.0396 7.8656
44.1952 7.92207
44.3508 7.97875
44.5064 8.03562
44.6619 8.09271
44.8174 8.14999
44.9729 8.20748
45.1284 8.26518
45.2839 8.32308
45.4393 8.38118
45.5948 8.43948
45.7502 8.498
45.9056 8.55671
46.061 8.61563
46.2163 8.67476
46.3716 8.73408
46.527 8.79362
46.6823 8.85335
46.8375 8.9133
46.9928 8.97344
47.148 9.03379
47.3032 9.09435
47.4584 9.15511
47.6136 9.21607
47.7688 9.27724
47.9239 9.33862
48.079 9.40019
48.2341 9.46198
48.3892 9.52397
48.5443 9.58616
48.6993 9.64856
48.8543 9.71116
49.0093 9.77397
49.1643 9.83698
49.3193 9.9002
49.4742 9.96362
49.6291 10.0273
49.784 10.0911
49.9389 10.1551
50.0937 10.2194
50.2486 10.2838
50.4034 10.3485
50.5582 10.4133
50.7129 10.4784
50.8677 10.5437
51.0224 10.6091
51.1771 10.6748
51.3318 10.7407
51.4865 10.8068
51.6411 10.8731
51.7957 10.9396
51.9503 11.0063
52.1049 11.0732
52.2594 11.1403
52.414 11.2077
52.5685 11.2752
52.723 11.3429
52.8774 11.4109
53.0319 11.479
53.1863 11.5474
53.3407 11.6159
53.4951 11.6847
53.6494 11.7537
53.8037 11.8228
53.9581 11.8922
54.1123 11.9618
54.2666 12.0316
54.4208 12.1016
54.5751 12.1718
54.7293 12.2422
54.8834 12.3129
55.0376 12.3837
55.1917 12.4547
55.3458 12.5259
55.4999 12.5974
55.6539 12.669
55.808 12.7409
55.962 12.813
56.1159 12.8852
56.2699 12.9577
56.4238 13.0304
56.5778 13.1033
56.7316 13.1764
56.8855 13.2497
57.0393 13.3232
57.1932 13.3969
57.3469 13.4709
57.5007 13.545
57.6545 13.6193
57.8082 13.6939
57.9619 13.7686
58.1155 13.8436
58.2692 13.9187
58.4228 13.9941
58.5764 14.0697
58.73 14.1455
58.8835 14.2215
59.037 14.2977
59.1905 14.3741
59.344 14.4507
59.4974 14.5275
59.6508 14.6046
59.8042 14.6818
59.9576 14.7593
60.1109 14.8369
60.2643 14.9148
60.4175 14.9928
60.5708 15.0711
60.724 15.1496
60.8773 15.2283
61.0304 15.3072
61.1836 15.3863
61.3367 15.4656
61.4898 15.5452
61.6429 15.6249
61.796 15.7048
61.949 15.785
62.102 15.8653
62.255 15.9459
62.4079 16.0267
62.5608 16.1077
62.7137 16.1888
62.8666 16.2702
63.0194 16.3519
63.1723 16.4337
63.325 16.5157
63.4778 16.5979
63.6305 16.6804
63.7832 16.763
63.9359 16.8459
64.0886 16.9289
64.2412 17.0122
64.3938 17.0957
64.5463 17.1794
64.6989 17.2633
64.8514 17.3474
65.0039 17.4317
65.1563 17.5162
65.3087 17.601
65.4611 17.6859
65.6135 17.7711
65.7658 17.8564
65.9182 17.942
66.0704 18.0278
66.2227 18.1138
66.3749 18.2
66.5271 18.2864
66.6793 18.373
66.8314 18.4599
66.9835 18.5469
67.1356 18.6341
67.2877 18.7216
67.4397 18.8093
67.5917 18.8972
67.7436 18.9852
67.8956 19.0735
68.0475 19.162
68.1993 19.2508
68.3512 19.3397
68.503 19.4288
68.6548 19.5182
68.8066 19.6077
68.9583 19.6975
69.11 19.7875
69.2616 19.8777
69.4133 19.9681
69.5649 20.0587
69.7165 20.1495
69.868 20.2405
70.0195 20.3318
70.171 20.4232
70.3224 20.5149
70.4739 20.6067
70.6253 20.6988
70.7766 20.7911
70.9279 20.8836
71.0792 20.9763
71.2305 21.0693
71.3817 21.1624
71.5329 21.2557
71.6841 21.3493
71.8352 21.4431
71.9864 21.5371
72.1374 21.6312
72.2885 21.7256
72.4395 21.8203
72.5905 21.9151
72.7414 22.0101
72.8923 22.1054
73.0432 22.2008
73.1941 22.2965
73.3449 22.3924
73.4957 22.4885
73.6464 22.5848
73.7971 22.6813
73.9478 22.778
74.0985 22.875
74.2491 22.9721
74.3997 23.0695
74.5503 23.1671
74.7008 23.2649
74.8513 23.3629
75.0017 23.4611
75.1521 23.5595
75.3025 23.6581
75.4529 23.757
75.6032 23.856
75.7535 23.9553
75.9038 24.0548
76.054 24.1545
76.2042 24.2544
76.3543 24.3545
76.5044 24.4549
76.6545 24.5554
76.8046 24.6562
76.9546 24.7572
77.1046 24.8584
77.2545 24.9598
77.4044 25.0614
77.5543 25.1632
77.7042 25.2653
77.854 25.3675
78.0037 25.47
78.1535 25.5727
78.3032 25.6756
78.4529 25.7787
78.6025 25.882
78.7521 25.9855
78.9016 26.0893
79.0512 26.1932
79.2007 26.2974
79.3501 26.4018
79.4995 26.5064
79.6489 26.6112
79.7983 26.7163
79.9476 26.8215
80.0969 26.927
80.2461 27.0326
80.3953 27.1385
80.5445 27.2446
80.6936 27.3509
80.8427 27.4575
80.9917 27.5642
81.1408 27.6712
81.2897 27.7784
81.4387 27.8857
81.5876 27.9933
81.7365 28.1012
81.8853 28.2092
82.0341 28.3174
82.1829 28.4259
82.3316 28.5346
82.4803 28.6435
82.6289 28.7526
82.7775 28.8619
82.9261 28.9714
83.0747 29.0812
83.2232 29.1912
83.3716 29.3013
83.52 29.4117
83.6684 29.5224
83.8168 29.6332
83.9651 29.7442
84.1133 29.8555
84.2616 29.967
84.4098 30.0787
84.5579 30.1906
84.706 30.3027
84.8541 30.415
85.0021 30.5276
85.1501 30.6404
85.2981 30.7534
85.446 30.8666
85.5939 30.98
85.7417 31.0936
85.8895 31.2075
86.0373 31.3216
86.185 31.4358
86.3327 31.5504
86.4803 31.6651
86.6279 31.78
